osm_id,osm_type,Type,name_en,name_zh_mbx,City,lon,lat,name,wikipedia,wikidata,name_zh,Distance
osm_id,osm_type,Type,name_en,name_zh_mbx,City,lon,lat,name,wikipedia,wikidata,name_zh,Error
2485807590,node,Tourism,Alun-Alun Puputan,普普坦广场,Bali,115.4034515,-8.5348465,Puputan Monument,,,,Error
2483312803,node,Tourism,Bali Shell Museum,巴厘贝壳博物馆,Bali,115.1867151,-8.7142647,Bali Shell Museum,,Q1992789,,4.456432311464702
1456270342,node,Tourism,Batuan Temple,巴图布兰寺庙,Bali,115.275975,-8.5816605,Pura Desa Batuan,,,,Error
1308670079,node,Tourism,Batuan Village,巴图布兰文化村,Bali,115.2765404,-8.5835837,Batuan,,Q2536942,,0.11181469377747943
1308721836,node,Tourism,Batubulan Village,巴土布兰村,Bali,115.2613406,-8.6201528,Batubulan,,,,Error
4436155291,node,Tourism,Bluepoint,蓝点,Bali,115.0884813,-8.8152998,Blue Point,,,,Error
122741626,way,Tourism,Borobudur Temple Compunds,婆罗浮屠塔,Bali,110.203755998182,-7.60799085636364,Borobudur Temple,,Q42798,,0.017221535930828015
428805386,node,Tourism,botanic garden,巴厘岛植物园,Bali,115.1546208,-8.2768689,Bali Botanical Gardens,,Q2563728,,0.050574251005792624
4100128689,node,Tourism,Campuhan Ridge Walk,乌布坎普罕山脊徒步,Bali,115.2547195,-8.5033404,Campuhan Ridge Walk,,,,Error
2154599548,node,Tourism,Devil's Tear,恶魔的眼泪,Bali,115.4293397,-8.6907555,Devil's Tear,,,,Error
1374638551,node,Tourism,Elephant Safari Park,大象野生动物园,Bali,115.2842582,-8.3922105,Elephant Park,,Q4850846,,11.21175729932658
428804451,node,Tourism,Gitgit Waterfall,吉吉瀑布,Bali,115.1382014,-8.2046916,Gitgit Waterfall,,Q37648,,Error
386307269,way,Tourism,Jimbaran Fish Market,金巴兰鱼市场,Bali,115.168365425,-8.757016825,,,,,Error
240887756,way,Tourism,Kertha Gosa,克龙宫仲裁法庭,Bali,115.403300375,-8.535659,Kertha Gosa Pavilion,en:Kertha Gosa Pavilion,Q6394777,,0.006166084242041598
3891185616,node,Tourism,Kintamani Volcano,京打马尼火山,Bali,115.375,-8.242,Batur,,,,Error
292801401,node,Tourism,Kintamani Volcano,京打马尼火山,Bali,115.3779603,-8.2394154,Gunung Batur,,Q43876,,0.3515116181969487
516165315,node,Tourism,Lembongan,蓝梦岛,Bali,115.44036,-8.6901894,Lembongan,,Q1970352,,1.2654250531454971
3849735168,node,Tourism,Lombok,龙目岛,Bali,115.7241974,-8.6463603,Lombok Strait,,Q7564,,69.9875295274937
990891854,node,Tourism,Lovina Beach,罗威那海滩,Bali,115.0254561,-8.1598344,Lovina Beach,,Q1872519,,0.12805879394669828
374506947,way,Tourism,Monumen Perjuangan Rakyat Bali,抗荷勇士纪念碑广场,Bali,116.822279425,-1.2791269,Monumen Perjuangan Rakyat Balikpapan,,,,Error
